dates,hospitalisations
01/04/2020,0
02/04/2020,0
03/04/2020,0
04/04/2020,0
05/04/2020,0
06/04/2020,0
07/04/2020,0
08/04/2020,1
09/04/2020,1
10/04/2020,3
11/04/2020,4
12/04/2020,7
13/04/2020,10
14/04/2020,14
15/04/2020,19
16/04/2020,25
17/04/2020,31
18/04/2020,38
19/04/2020,45
20/04/2020,53
21/04/2020,61
22/04/2020,69
23/04/2020,78
24/04/2020,86
25/04/2020,94
26/04/2020,102
27/04/2020,110
28/04/2020,117
29/04/2020,124
30/04/2020,130
01/05/2020,136
02/05/2020,141
03/05/2020,146
04/05/2020,150
05/05/2020,154
06/05/2020,157
07/05/2020,159
08/05/2020,161
09/05/2020,163
10/05/2020,164
11/05/2020,165
12/05/2020,166
13/05/2020,166
14/05/2020,165
15/05/2020,165
16/05/2020,164
17/05/2020,162
18/05/2020,161
19/05/2020,159
20/05/2020,157
21/05/2020,155
22/05/2020,153
23/05/2020,150
24/05/2020,148
25/05/2020,145
26/05/2020,142
27/05/2020,139
28/05/2020,137
29/05/2020,134
30/05/2020,131
31/05/2020,128
01/06/2020,125
02/06/2020,122
03/06/2020,119
04/06/2020,116
05/06/2020,113
06/06/2020,110
07/06/2020,107
08/06/2020,104
09/06/2020,101
10/06/2020,98
11/06/2020,95
12/06/2020,92
13/06/2020,90
14/06/2020,87
15/06/2020,84
16/06/2020,81
17/06/2020,77
18/06/2020,74
19/06/2020,70
20/06/2020,67
21/06/2020,65
22/06/2020,62
23/06/2020,59
24/06/2020,56
25/06/2020,53
26/06/2020,51
27/06/2020,48
28/06/2020,47
29/06/2020,44
30/06/2020,42
01/07/2020,40
02/07/2020,38
03/07/2020,36
04/07/2020,34
05/07/2020,33
06/07/2020,31
07/07/2020,29
08/07/2020,28
09/07/2020,26
10/07/2020,25
11/07/2020,24
12/07/2020,23
13/07/2020,21
14/07/2020,20
15/07/2020,19
16/07/2020,18
17/07/2020,17
18/07/2020,16
19/07/2020,15
20/07/2020,14
21/07/2020,13
22/07/2020,13
23/07/2020,12
24/07/2020,11
25/07/2020,11
26/07/2020,10
27/07/2020,10
28/07/2020,9
29/07/2020,8
30/07/2020,8
31/07/2020,7
01/08/2020,7
02/08/2020,6
03/08/2020,6
04/08/2020,6
05/08/2020,5
06/08/2020,5
07/08/2020,4
08/08/2020,4
09/08/2020,4
10/08/2020,4
11/08/2020,3
12/08/2020,3
13/08/2020,3
14/08/2020,2
15/08/2020,2
16/08/2020,2
17/08/2020,2
18/08/2020,2
19/08/2020,1
20/08/2020,1
21/08/2020,1
22/08/2020,1
23/08/2020,1
24/08/2020,1
25/08/2020,1
26/08/2020,0
27/08/2020,0
28/08/2020,0
29/08/2020,0
30/08/2020,0
31/08/2020,0
